team_name,player_name,position,goals,appearances
Spain,Gavi,MID,1,4
Spain,Dani Olmo,MID,1,4
Spain,Pedri,MID,0,4
Spain,Unai Simon,GK,0,4
Germany,Kai Havertz,FWD,1,3
Germany,Niclas Fullkrug,FWD,2,2
Germany,Ilkay Gundogan,MID,1,3
Germany,Jamal Musiala,MID,1,3
Germany,Thomas Muller,FWD,0,3
Germany,Manuel Neuer,GK,0,3
Switzerland,Breel Embolo,FWD,1,4
Switzerland,Xherdan Shaqiri,MID,1,4
Switzerland,Granit Xhaka,MID,0,4
Switzerland,Yann Sommer,GK,0,4
Belgium,Romelu Lukaku,FWD,0,3
Belgium,Eden Hazard,FWD,0,3
Belgium,Kevin De Bruyne,MID,0,3
Belgium,Michy Batshuayi,FWD,1,3
Belgium,Thibaut Courtois,GK,0,3
Senegal,Sadio Mane,FWD,0,0
Senegal,Ismaila Sarr,FWD,1,4
Senegal,Boulaye Dia,FWD,1,3
Senegal,Edouard Mendy,GK,0,4
Japan,Ritsu Doan,FWD,2,4
Japan,Daizen Maeda,FWD,1,4
Japan,Takuma Asano,FWD,1,4
Japan,Shuichi Gonda,GK,0,4
South Korea,Cho Gue-sung,FWD,2,4
South Korea,Son Heung-min,FWD,0,4
South Korea,Kim Min-jae,DEF,0,4
South Korea,Kim Seung-gyu,GK,0,4
Australia,Mathew Leckie,FWD,1,4
Australia,Craig Goodwin,FWD,1,4
Australia,Mitchell Duke,FWD,1,4
Australia,Mathew Ryan,GK,0,4
United States,Christian Pulisic,MID,1,4
United States,Timothy Weah,FWD,1,4
United States,Weston McKennie,MID,0,4
United States,Matt Turner,GK,0,4
Poland,Robert Lewandowski,FWD,2,4
Poland,Piotr Zielinski,MID,1,4
Poland,Wojciech Szczesny,GK,0,4
Mexico,Henry Martin,FWD,1,3
Mexico,Luis Chavez,MID,1,3
Mexico,Guillermo Ochoa,GK,0,3
Saudi Arabia,Salem Al-Dawsari,FWD,2,3
Saudi Arabia,Saleh Al-Shehri,FWD,1,3
Saudi Arabia,Mohammed Al-Owais,GK,0,3
Ecuador,Enner Valencia,FWD,3,3
Ecuador,Moises Caicedo,MID,0,3
Tunisia,Wahbi Khazri,FWD,1,3
Tunisia,Aissa Laidouni,MID,0,3
Cameroon,Vincent Aboubakar,FWD,2,3
Cameroon,Eric Maxim Choupo-Moting,FWD,1,3
Ghana,Mohammed Kudus,FWD,2,3
Ghana,Andre Ayew,FWD,1,3
Serbia,Dusan Vlahovic,FWD,1,3
Serbia,Aleksandar Mitrovic,FWD,2,2
Costa Rica,Keysher Fuller,DEF,1,3
Uruguay,Darwin Nunez,FWD,0,2
Uruguay,Federico Valverde,MID,0,3
Wales,Gareth Bale,FWD,1,3
Wales,Wayne Hennessey,GK,0,3
Canada,Alphonso Davies,DEF,1,3
Canada,Jonathan David,FWD,0,3
Denmark,Andreas Christensen,DEF,0,3
Qatar,Hassan Al-Haydos,MID,0,3
Iran,Mehdi Taremi,FWD,2,3
